algorithm;dataset;k;qids;weighted;iterations;eliteFraction;crossoverFraction;productionFraction;mutationProbability;immigrationFraction;immigrationInterval;subpopulationSize;trianglePattern;dualPopulation;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility;tuningParameter;tuningValue
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.2;0.8;0.05;0.2;10;100;true;true;5000;2147483647;false;1;280702;0.633248698;0;crossOverFraction;0.2
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.6;0.8;0.05;0.2;10;100;true;true;5000;2147483647;false;1;280741;0.624067937;0;crossOverFraction;0.6
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;5000;2147483647;false;1;265703;0.62451632;0;eliteFraction;0.2
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.4;0.4;0.8;0.05;0.2;10;100;true;true;5000;2147483647;false;1;270648;0.632732989;0;eliteFraction;0.4
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.2;0.05;0.2;10;100;true;true;5000;2147483647;false;1;285691;0.624206109;0;productionFraction;0.2
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.4;0.05;0.2;10;100;true;true;5000;2147483647;false;1;275686;0.625260346;0;productionFraction;0.4
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.6;0.05;0.2;10;100;true;true;5000;2147483647;false;1;280705;0.622365168;0;productionFraction;0.6
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.025;0.2;10;100;true;true;5000;2147483647;false;1;310735;0.629524419;0;mutationProbability;0.025
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.1;0.2;10;100;true;true;5000;2147483647;false;1;270716;0.62566966;0;mutationProbability;0.1
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.4;10;100;true;true;5000;2147483647;false;1;300795;0.629885877;0;immigrationFraction;0.4
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.6;10;100;true;true;5000;2147483647;false;1;280743;0.624087251;0;immigrationFraction;0.6
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.8;10;100;true;true;5000;2147483647;false;1;295703;0.628342693;0;immigrationFraction;0.8
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;5;100;true;true;5000;2147483647;false;1;275753;0.627805257;0;immigrationInterval;5
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;20;100;true;true;5000;2147483647;false;1;285732;0.628284667;0;immigrationInterval;20
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.2;0.8;0.05;0.2;10;100;true;true;5000;2147483647;false;1;285711;0.628584031;0;crossOverFraction;0.2
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.6;0.8;0.05;0.2;10;100;true;true;5000;2147483647;false;1;265605;0.628556607;0;crossOverFraction;0.6
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.2;0.8;0.05;0.2;10;100;true;true;10000;2147483647;false;1;540752;0.629049724;0;crossOverFraction;0.2
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.6;0.8;0.05;0.2;10;100;true;true;10000;2147483647;false;1;590752;0.627468615;0;crossOverFraction;0.6
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;10000;2147483647;false;1;540731;0.623494391;0;eliteFraction;0.2
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.4;0.4;0.8;0.05;0.2;10;100;true;true;10000;2147483647;false;1;600747;0.626547761;0;eliteFraction;0.4
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.2;0.05;0.2;10;100;true;true;10000;2147483647;false;1;520676;0.620269937;0;productionFraction;0.2
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.4;0.05;0.2;10;100;true;true;10000;2147483647;false;1;540687;0.622986924;0;productionFraction;0.4
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.6;0.05;0.2;10;100;true;true;10000;2147483647;false;1;550794;0.626767721;0;productionFraction;0.6
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.025;0.2;10;100;true;true;10000;2147483647;false;1;580771;0.627153535;0;mutationProbability;0.025
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.1;0.2;10;100;true;true;10000;2147483647;false;1;540718;0.626603978;0;mutationProbability;0.1
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.4;10;100;true;true;10000;2147483647;false;1;590786;0.628338085;0;immigrationFraction;0.4
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.6;10;100;true;true;10000;2147483647;false;1;560736;0.63003622;0;immigrationFraction;0.6
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.8;10;100;true;true;10000;2147483647;false;1;590765;0.628472005;0;immigrationFraction;0.8
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;5;100;true;true;10000;2147483647;false;1;500680;0.625604708;0;immigrationInterval;5
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;20;100;true;true;10000;2147483647;false;1;660873;0.627395887;0;immigrationInterval;20
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.2;0.8;0.05;0.2;10;100;true;true;10000;2147483647;false;1;620850;0.634121125;0;crossOverFraction;0.2
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.6;0.8;0.05;0.2;10;100;true;true;10000;2147483647;false;1;500644;0.62555931;0;crossOverFraction;0.6
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.2;0.8;0.05;0.2;10;100;true;true;20000;2147483647;false;1;1240880;0.629316346;0;crossOverFraction;0.2
BEST_EFFORT_GENETIC;MACH2019;5;0;false;2147483647;0.2;0.6;0.8;0.05;0.2;10;100;true;true;20000;2147483647;false;1;1160713;0.62858489;0;crossOverFraction;0.6
